,name,description,ingredients,steps
1324,white russian cocktail,read full description on http //bit.ly/1ktxbhy,"1.5 ounce vodka, 1.0 ounce coffee liquor, 1.0 ounce heavy cream, cinnamon, 1.0 cinnamon stick, ice",read full description on http //bit.ly/1ktxbhy
6007,hot pot soup,"gingery chicken broth that caresses bite size morsels of fresh aromatic vegetables and herbs, interlaced with silky rice noodles with chicken or tofu.","2.0 inch fresh ginger, 0.2 sweet onion, 1.0 cup carrot, 2.0 teaspoon dark soy sauce, 1.0 quart chicken stock, 2.0 cup chicken, 1.0 cup shiitake mushroom, 1.0 cup asparagus spears, dried rice noodles, 2.0 tablespoon coconut oil, fresh cilantro, sriracha hot sauce, lime wedge","saute onion, ginger and carrots in 1 tbsp coconut oil . add shiitake mushrooms and asparagus and saute for 1 2 minutes more . drizzle with 1 tsp . dark soy sauce . add chicken or tofu . pour in chicken broth and bring to simmer . add cooked rice noodles just before serving, garnish with cilantro, sriracha and lime wedge,"
4520,broccoli idaho potato gratin,"yummy gratin made with roasted idaho potatoes, broccoli and sharp cheddar cheese . a delicious vegetarian entree or side . kosher for passover.","1 lb idaho potatoes, peeled, 1 tbsp extra virgin olive oil, 3/4 tsp finely minced garlic, 1/2 tsp paprika, 12 oz broccoli florets, 2 tbsp potato starch, 1 1/4 cups lowfat milk, 3/4 cup grated sharp cheddar cheese, salt and pepper, nonstick cooking oil spray or more olive oil, for greasing","place a rack in the middle of the oven and preheat to 425deg f . slice the peeled potatoes into 3/4 inch pieces . place the potato pieces into a gallon sized plastic zipper bag with olive oil . close the bag and toss the potatoes well . work the potatoes with your fingers for a minute so all the potato pieces are lightly covered with oil . open the bag and sprinkle in the garlic, paprika, 1/2 tsp salt and a pinch of black pepper . close the bag, then shake and massage the potato pieces for a minute or two so that all the pieces are evenly coated with seasoning . generously grease a baking sheet with nonstick cooking spray or olive oil . spread potatoes out in an even layer onto the sheet.place the baking sheet into the preheated oven and let the potatoes roast for about 20 minutes, stirring once halfway through cooking, till the potato pieces are browned, crisp and cooked through . remove cooked potatoes from oven and reduce oven temperature to 375deg f . clean the broccoli and cut into small florets . in a medium saucepan, bring 1/2 inch water to a boil . place broccoli florets in the pan and cover with a lid . let the broccoli steam for 3 4 minutes till bright green and tender.pour broccoli into a colander and rinse with cold water to stop the cooking process . shake broccoli, then pat dry to remove excess water . rinse the saucepan . place broccoli into a large mixing bowl . add the roasted potato pieces . toss to mix . lightly grease your gratin dish or baking dish with olive oil or nonstick cooking oil spray . pour the mixed vegetables into the dish . in the rinsed saucepan, melt 1 tbsp butter . whisk in 2 tbsp potato starch . add milk slowly, 1/4 cup at time, whisking frequently, till it thickens and begins to bubble around the edges . whisk in the grated cheddar cheese and stir till melted and smooth . whisk in 1/2 tsp salt and 1/4 tsp pepper . pour the cheese sauce evenly across the top of the broccoli and potato pieces.place the assembled gratin into the oven and bake for 20 30 minutes till edges begin to brown and the cheese sauce is bubbly . remove the gratin from the oven and turn on your broiler . when broiler is hot, place the gratin back in the oven and let it brown under the broiler for 1 2 minutes, watching it carefully, till the top is browned to your liking . serve hot."
3750,cherry custard,"this simple cherry custard dessert is similar to a french clafoutis, only made lighter and served in individual ramekins for better portion control.","1 1/3 cups of pitted cherries, 2 large eggs, 1/4 cup raw sugar, 1/4 cup unbleached all purpose flour, pinch of salt, 1/2 cup fat free milk, 1 tsp vanilla extract, powdered sugar for dusting, baking spray","preheat the oven to 350deg . lightly spray 4 5 oz ramekins with baking spray and dust with a little flour . toss in the cherries . whisk the eggs, sugar, salt, and flour together until smooth . add the milk and vanilla extract . whisk until smooth . pour into the baking dish . bake for 25 28 minutes or until lightly browned and a toothpick inserted into the center comes out clean . when you pull it put of the oven it will wiggle and puffed up and will deflate while cooling . cool on a wire rack . when cool, dust with powdered sugar and serve."
2548,milk dud cookies,"bite into the softest butter cookie, filled with a chewy, melted milk dud, and sprinkled with sugar . after forming a moist, sticky cookie dough, gently roll each cookie . making a hollow well with your finger, drop a milk dud in the center then roll the dough around the dud until it is completely covered . once in the over, the milk dud will melt into the soft dough, keeping it moist and creating a chocolate and nutty center.","150.0 gram butter, 100.0 gram sugar, 75.0 gram brown sugar, 2.0 teaspoon vanilla extract, 1.0 egg, 250.0 gram flour, 1.0 box milk duds","preheat oven to 350f . with an electric mixer, mix butter, sugar, brown sugar, and vanilla extract on medium speed . in bowl, beat the egg . add the beaten egg to the above mixture . gradually, add the flour while continuing to mix . using a teaspoon, take some dough, roll it in your hand, make a crater in the middle, drop some milk duds in the hole, cover with some more dough, and reseal . roll the ball in sugar and place on a silicone mat or a baking sheet lined with parchment paper . bake the cookies for 10 12 minutes until lightly browned . cool the cookies for 5 minutes before serving or storing."
2536,"summer tomatoes, corn, crab and avocado salad","a wonderful summer salad made with lump crab meat, summer tomatoes, sweet charred roasted corn, cilantro, hot peppers and zesty lime juice . serve this over mixed greens or tostadas as a main dish or you can put this in martini glasses as a fancy appetizer.","12 oz lump crab meat, 1 pint grape tomatoes, 1 hass avocado, 2 hot peppers such as serrano or jalapenos, 1 1/2 cups roasted corn kernels, 1/3 cup chopped red onion, 2 limes, 1 tsp olive oil, 2 tbsp chopped cilantro, salt and fresh pepper to taste","in a small bowl combine red onion, lime juice, olive oil, pinch of salt and pepper . let them marinate at least 5 minutes to mellow the flavor of the onion . in a large bowl combine chopped crab meat, avocado, tomatoes, hot pepper and corn . combine all the ingredients together, add cilantro and gently toss . adjust lime juice, salt and pepper to taste."
1485,grilled peaches with honey and yogurt,"nothing says summer like biting into a juicy peach . grilling them is a simple way to enjoy them as a dessert, a perfect ending to a backyard bbq without heating up your kitchen . delicious topped with yogurt and honey, but also great topped with low fat ice cream.","1/4 cup fat free vanilla greek yogurt, 1/8 tsp cinnamon, 2 large ripe peaches, 2 tbsp honey","combine yogurt and cinnamon . grill the peaches, covered on low or indirect heat until soft, about 2 4 minutes on each side . drizzle with honey and serve each with 1 tbsp of yogurt."
2526,tiramisu met vanille,een zalig nagerecht is deze tiramisu met vanille . de dikke kwark en creme fraiche maken een fijne combinatie met de sterke koffie en vanillesuiker.,"125.0 milliliter creme fraiche, 125.0 milliliter kwark, 2.0 vanillesuiker, 2.0 tablespoon suiker, 125.0 milliliter vanillevla, 1.0 teaspoon citroenrasp, 10.0 lange vingers, 15.0 deciliter koffie, 5.0 tablespoon cacao","meng de creme fraiche met de kwark, de vanillesuiker, de suiker, de vanillevla en de citroenrasp . verdeel de lange vingers over een kleine cakevorm of 4 dessertschaaltjes en besprenkel ze met de sterke koffie . verdeel het creme fraichemengsel over de lange vingers . strooi de cacao erover . laat de tiramisu in de koelkast een paar uur opstijven . je kunt de lange vingers behalve met koffie ook met een scheutje koffielikeur besprenkelen, of met een mengsel van beide."
2579,steamed pork and shrimp wontons,"steamed pork and shrimp wontons with ground pork, peeled and deveined shrimp, green onions, garlic, fresh ginger, soy sauce, mirin, sesame oil, sugar, fresh ground black pepper, soy sauce, chili oil, honey, rice vinegar, sesame oil, chicken stock, wonton wrappers, green onions","8.0 ounce ground pork, 8.0 ounce peeled and deveined shrimp, 2.0 green onions, 2.0 clove garlic, 1.0 inch fresh ginger, 1.5 tablespoon soy sauce, 1.0 tablespoon mirin, 1.0 tablespoon sesame oil, 1.0 teaspoon sugar, 0.5 teaspoon fresh ground black pepper, 1.0 tablespoon soy sauce, 1.0 teaspoon chili oil, 1.0 teaspoon honey, 1.0 tablespoon rice vinegar, 1.0 teaspoon sesame oil, 1.0 cup chicken stock, 40.0 wonton wrappers, green onions","place all ingredients in bowl of food processor . pulse 5 6 times until chopped and combined . transfer to bowl, cover and refrigerate 30 minutes . spread wontons wrappers onto work surface . add about 1 teaspoon filling to center of wonton . wet edges of wrapper with water to help it stick . bring corners up to a point and press edges to seal . repeat with all wrappers . combine ingredients in saucepan . bring to a simmer for 4 5 minutes to combine flavors . cover and keep warm . set the smart oven attachment base pan with heating element and steamer water basin pan on the oven rack . fill water basin pan with 4 cups of water, cover with lid and place in oven . select steam mode and preheat for 10 minutes . arrange wontons on perforated steamer tray and place in water basin pan cover with lid . cook 8 10 minutes . serve in bowls with chili broth and green onions if you like."
1245,farfalle met krab,"de krab geeft dit gerecht allure en klasse . geserveerd in een kleine hoeveelheid, in een glaasje bijvoorbeeld, is het ook een spannend voorgerecht of hapje.","1.0 citroen, 1.0 bunch peterselie, 350.0 gram andere, 1.0 clove knoflook, 3.0 tablespoon bertolli originale extra vergine olijfolie, 200.0 gram krab, 4.0 tomaten, zout, peper","rasp de schil van de citroen alleen het gele deel, het wit eronder is bitter van smaak een pers een eetlepel sap uit . hak de peterselie zeer fijn . verwijder alle ongerechtigheden uit de krab en laat deze goed uitlekken . pel de knoflookteen . snijd de tomaten in stukjes . kook de pasta volgens de aanwijzingen op de verpakking al dente . verhit de olijfolie in een pan en fruit hierin de hele knoflookteen tot deze bruin wordt . verwijder de knoflook en voeg de krab, de tomaten, het citroensap en een beetje zout toe aan de olie . neem de pan van het vuur . giet de pasta af en meng deze met de saus . schep er de citroenschil en de peterselie door en breng de pasta op smaak met royaal versgemalen peper . nog even goed mengen en dan direct opdienen."
1189,cashew apple green smoothie,"learn to make a healthy, delicious, non dairy green smoothie with apples, cashews, spinach or baby kale, and spices.","1/3 cup raw unsalted cashews, 1 cup cold water, plus more for soaking, 1 organic ripe fuji or gala apple cut into chunks, core discarded, 1/2 banana, peeled and cut into chunks, 2 cups fresh organic baby spinach or baby kale, 16 ice cubes, 1 tsp cinnamon, 1/4 tsp nutmeg, 1 tsp stevia or 1 tbsp agave nectar, or more to taste i use 1 packet of truvia","place cashews in a small bowl and cover with cold water . soak the cashews for 1 hour up to overnight if soaking overnight, keep them refrigerated . drain and rinse the cashews . pour 1 cup cold water into the blender along with the cashews . blend till the cashews and water look like milk . add one handful of the apple chunks . blend till the mixture is liquid . continue adding the apple and banana in small handfuls, blending each handful one at a time, till all of the fruit chunks are blended in . add the greens, one handful at a time, and blend thoroughly.add the ice cubes, cinnamon, nutmeg and sweetener . blend till the ice cubes are thoroughly crushed and the mixture is smooth . i blend it for at least 1 minute to make sure all of the greens are totally pulverized . you may need more or less ice cubes depending on the size of your cubes just add them till the mixture is thick and milkshake like in texture . divide the smoothie between two large glasses and serve . there may be a little left over, which you can use to top off the glasses after sipping them down a bit . enjoy"
4811,quinoa tabbouleh salad,"a lemony middle eastern tabbouleh salad with made with healthy gluten free quinoa, fresh parsley and mint . vegan and kosher for passover.","3/4 cup uncooked quinoa, 2 bunches fresh flat leaf parsley, , 2 bunches fresh mint, , 3 fresh tomatoes, 1/4 cup finely chopped scallions or onions, 1/4 cup freshly squeezed lemon juice, , 1/4 cup extra virgin olive oil, 3/4 tsp salt,","rinse uncooked quinoa in cold water using a fine mesh strainer until the water runs clear . drain.spread quinoa in the bottom of a stainless steel skillet in an even layer . turn heat to medium and let the quinoa heat up, stirring occasionally, until the moisture is gone . continue to cook the quinoa over medium heat, stirring frequently, for roughly 10 minutes until it begins to turn toasty and fragrant . the quinoa is ready when the seeds start to pop and turn golden brown . remove from heat . pour quinoa into saucepan along with 1 1/2 cups of water . bring to a boil, then reduce to a simmer and cover the pan . cook quinoa for 10 12 minutes until tender, but not mushy . stir and let cool to room temperature . place minced fresh parsley and mint in a medium salad bowl . whisk together the lemon juice, olive oil and salt . seed the tomatoes by quartering them, then use your fingers or a paring knife to remove the seeds.dice the tomatoes into small pieces . add the finely chopped tomatoes to the green herbs along with the chopped scallions, cooked quinoa, and olive oil lemon juice dressing . stir gently to combine.season with additional salt or lemon juice to taste, if desired . serve at room temperature, or chill in the refrigerator . some people like to add garlic to their tabbouleh . if you want a garlicky flavor, add a well minced raw clove to the salad . enjoy"
3017,spaghetti with italian chicken,"spaghetti with italian chicken with boneless, skinless chicken breasts, penne pasta, italian seasoning, salt, olive oil, marinara sauce, parmesan cheese","6.0 boneless, skinless chicken breasts, 1.0 box penne pasta, 2.0 tablespoon italian seasoning, 1.0 salt, 1.0 tablespoon olive oil, 32.0 ounce marinara sauce, 0.2 cup parmesan cheese","1. prepare pasta according to package directions . drain, set aside and keep warm . 2. while pasta is cooking, sprinkle chicken with 1 tablespoon italian seasoning, salt and pepper . 3. heat oil in a large skillet over medium high heat . cook chicken, stirring often for 4 5 minutes, or until lightly browned . 4. turn heat to medium low . add sauce and remaining seasoning . heat 8 10 minutes, or until heated through and chicken is done . 5. add pasta to sauce and warm through . top with shaved parmesan cheese."
5366,carpaccio van zalm met tuinkruidendressing,heerlijke carpaccio van zalm met tuinkruidendressing . de dressing maak je eenvoudig en snel met knorr groentebouillonblokje . het ideale voorgerecht met kerst voor 4 personen.,"400.0 gram zalm, 200.0 milliliter olijfolie, 1.0 limoen, 1.0 block knorr groentebouillon, 300.0 gram sla","snijd de zalm in plakjes van gelijke dikte . pers de limoen uit en voeg de olijfolie erbij . mix het blokje knorr groentebouillon fijn in de vinaigrette . leg de zalmplakjes op een koud bord, strijk er dressing over en kruid eventueel bij met peper en grof zout . maak de gemengde sla aan met de resterende vinaigrette en schik langs de zalm . serveer de carpaccio van zalm met tuinkruidendressing direct."
5970,creamy shrimp and celery salad,this light and creamy shrimp and celery salad is seasoned with old bay and lime juice and mixed in a light creamy sauce.,"16 ounces large cooked peeled and deveined shrimp, 2 medium cucumbers, 1 large celery stalk, 1/4 cup low fat sour cream, 2 tbsp lite mayonnaise, 2 tbsp lime juice, 1 tsp old bay seasoning, salt to taste, chopped dill","in a medium bowl, combine sour cream, mayonnaise, lime juice, old bay and salt . add shrimp, celery, cucumbers and mix . refrigerate until ready to serve."
680,old bay classic salmon cakes,"old bay classic salmon cakes with salmon, old bay, mayonnaise, tartar sauce","14.8 ounce salmon, 1.0 package old bay, 0.5 cup mayonnaise, tartar sauce","drain can of salmon or use cooked salmon . remove skin and bones . flake salmon . mix classic mix and mayonnaise in large bowl . add salmon toss gently until well mixed . shape into 5 patties . broil or fry 5 minutes per side or until golden brown, turning once . serve with tartar sauce, if desired."
1084,classic cheesecake,"celebrate shavuot or just because with an irresistible recipe for classic new york style cheesecake . kosher, dairy.","10 full size honey graham crackers, 1/2 cup walnut pieces, 1/4 cup powdered sugar, 1 1/2 tsp cinnamon, 1/4 tsp nutmeg, pinch salt, 2 tbsp melted unsalted butter, 2 lbs cream cheese, 4 large eggs, 1 1/2 cups granulated sugar, 3/4 cup sour cream, 1/2 cup half and half, 1/4 cup sweetened condensed milk, 1/4 cup all purpose flour, 2 tsp vanilla, 1/3 cup water, 1/4 cup granulated sugar, 4 tsp cornstarch, 1 1/2 cups fresh blueberries, 1 tbsp lemon juice","about 45 minutes before baking, take the cream cheese out of the refrigerator so it can return to room temperature . preheat oven to 325 degrees f . place a piece of parchment paper over the bottom of a 9 inch springform pan, then seal the springform pan edge around the base . the base should be covered by parchment paper with edges of the paper sticking out from the sides of the pan . this paper will keep the cheesecake from sticking to the bottom of your pan . grease the inner sides of the springform pan with butter or cooking spray, making sure the sides are fully coated . do not spray the parchment paper on the bottom . important make sure your springform pan is fully locked and secure around the parchment paper there is nothing worse than filling a springform pan with batter and having the pan fall apart or leak on you . if you have an older or lower quality pan that doesn't lock tightly, you may want to cut the parchment paper into a circle to line the bottom rather than letting the edges stick out, so there is no layer of parchment to interfere with the seal . in a food processor, pulse together graham crackers, powdered sugar, chopped walnuts, cinnamon, nutmeg and salt until a crumbly powder forms about 30 seconds of processing . pour the melted butter over the crumbs and continue to process for another 10 seconds . push the crumbs down the sides of the processor, stir them with a spoon, and continue processing for about 10 more seconds . at the end of processing, crumbs should be evenly darkened/moistened by the butter . press crumb mixture firmly in an even layer across the bottom of the springform pan . thoroughly clean and dry the food processor . pulse the cream cheese about 10 times, then add the rest of the cheesecake ingredients eggs, sugar, sour cream, half and half, sweetened condensed milk, flour, and vanilla . continue to process the ingredients together, using short 1 second pulses to blend the ingredients for about 15 seconds total mixing time . do not over mix this will cause the cheesecake's texture to change . filling consistency should be smooth no lumps, but not watery . fill the teapot with water and heat it up on the stovetop . while water is heating, pour the cheesecake filling carefully into the prepared springform pan . smooth the surface of the cheesecake filling with a spatula or spoon pop any large bubbles that rise to the surface . when the teapot boils, carefully fill a wide roasting pan with the hot water don't burn yourself . place the roasting pan on the bottom of the oven, and place the springform pan onto the middle rack of the oven above the pan of water . this creates a steamy environment in the oven, which allows the cake to bake more evenly see note below . close the oven and bake at 325 degrees f for one hour . at the end of one hour, take the roasting pan with water out of the oven . close the oven, turn off the heat, and let the cheesecake cool slowly inside the oven for 3 hours . this slow cooling will prevent the top of the cake from cracking . if you don't care about cracking, you can cool it out of the oven, which will bring it back to room temperature more quickly . after 3 hours, remove the pan from the oven . let it return to room temperature, then place the cheesecake in the refrigerator and chill for at least 12 hours . gently remove the cake from the springform pan after it is thoroughly chilled . if using a topping, spread it on after chilling the cake . serve cold . note i prefer the steaming method i described above to a traditional ""water bath"" or bain marie it saves you having to wrap the springform pan in foil . i've tried this cheesecake both in a direct water bath and with this indirect steaming method, and the result is exactly the same plus, you don't have to worry about making the springform pan watertight . less muss, less fuss."
3055,coffee cake muffins,"with cinnamon streusel baked both on top and inside of the muffin, these sweet morning treats are irresistible the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .","0.5 cup unsalted butter, 0.5 cup granulated sugar, 0.2 cup light brown sugar, 1.0 teaspoon vanilla extract, 2.0 large eggs, 0.5 cup sour cream, 0.2 cup milk, 1.8 cup all purpose flour, 1.0 teaspoon baking powder, 1.0 teaspoon baking soda, 0.5 teaspoon cinnamon, 0.5 teaspoon salt, 1.1 cup all purpose flour, 0.7 cup light brown sugar, 1.5 tablespoon granulated sugar, 2.0 teaspoon cinnamon, 0.2 teaspoon salt, 6.0 tablespoon unsalted butter","preheat the oven to 425degf . line a 12 cavity muffin pan with muffin/cupcake liners . in large mixing bowl, use a hand mixer to cream together the butter, granulated sugar, brown sugar, and vanilla extract on medium high speed until smooth and combined, 1 2 minutes . add the eggs and beat for a minute longer, until the mixture is pale and fluffy . add the sour cream and milk . continue to beat until fully incorporated, scraping down the sides of the bowl with a rubber spatula . add the flour, baking powder, baking soda, cinnamon, and salt to the bowl . beat the mixture on medium low speed, scraping down the sides of the bowl with a rubber spatula as needed, until just combined . do not over mix . to make the streusel, place the flour, brown sugar, granulated sugar, cinnamon, and salt in a large mixing bowl . stir with a fork to combine . drizzle the melted butter into the bowl, and mix with the fork until the mixture forms large crumbs . fill each muffin liner approximately 1/3 full with muffin batter . crumble a scant tablespoon of streusel into each muffin cup . divide the remaining batter into the muffin cups . sprinkle the muffins with the remaining streusel . bake the muffins on middle rack of oven for 5 minutes . reduce the oven temperature to 350degf . continue baking until a toothpick inserted in the center of a muffin comes out clean, 14 16 minutes . check to see that muffins are done . remove from oven or add time as needed . allow the muffins to cool in the pan for 5 minutes before removing and serving . store leftovers in an airtight container at room temperature for 2 days, or refrigerate for 3 days."
1781,ham and swiss crustless quiche,"this low carb crustless ham and cheese quiche is light and delicious, perfect for breakfast or brunch or even a light dinner made with a leftover ham or ham steak, broccoli and swiss cheese.","cooking spray, 1 3/4 cups diced ham steak or leftover ham, 1 cup chopped steamed broccoli, 1 cup fresh grated swiss cheese, 2/3 cup 2 milk, 1/4 cup half and half cream, 5 large eggs, 1/2 teaspoon kosher salt, 1/8 teaspoon ground black pepper, pinch of nutmeg","preheat the to 350f degrees . spray a pie dish with oil . evenly spread the broccoli in the dish and top it evenly with the ham . make the custard mixture by whisking together the milk, half and half, eggs, salt, black pepper, and the nutmeg . pour the custard into the dish and top with swiss cheese . bake 35 to 40 minutes, until the center is set . cut the quiche into 6 pieces and serve."
2086,dry brined roast turkey with garlic sage butter,"if you're looking for turkey with beautiful crisp skin and tender, juicy meat that's seasoned all the way through, try a dry brine . all you do is coat the bird with a mixture of salt, sugar, and spices, and then chill it two to three days for the rub to penetrate the meat . to put it over the top for flavor, we've added a garlic sage butter . be sure your turkey is thawed before applying the dry brine to the skin otherwise, as the turkey thaws, the seasoning blend will weep . the recipe is a yummly original created by david bonom https //www.yummly.com/dish/author/david bonom .","16.0 pound turkey, 5.0 tablespoon kosher salt, 2.0 tablespoon sugar, 2.0 tablespoon dried sage, 1.0 teaspoon black pepper, 0.5 teaspoon cayenne, 0.3 cup unsalted butter, 4.0 garlic cloves, 2.0 tablespoon fresh sage, 2.0 cup water, fresh sage","pat turkey dry inside and out with paper towels . combine salt, sugar, dried sage, black pepper, and cayenne in a bowl . rub mixture over outside of entire turkey top, bottom, sides and inside cavity . pro tip for dry brining use 3/4 tsp . to 1 tsp . kosher salt per pound of turkey . we used 3/4 tsp . set turkey on a v shaped rack in a roasting pan and refrigerate, uncovered, 48 to 72 hours . pro tip refrigerating for 72 hours creates the most flavorful meat and crispest skin . if you don't have room in your fridge for a roasting pan, set the turkey on a cooling rack in a sheet pan . remove turkey from refrigerator and let stand at room temperature for 1 hour . preheat oven to 425degf . meanwhile, combine butter, garlic, and chopped sage in a bowl . rub butter mixture all over turkey, including inside the cavity . pro tip a microplane grater creates extra fine bits of garlic that practically melt into the turkey skin . avoid coarsely chopped garlic, which can get too dark in the oven . tuck wing tips back under breasts and tie legs together with twine . set turkey on v shaped rack in roasting pan with the breast side up . pour water or broth into bottom of roasting pan . place turkey on rack in lower third of oven, and reduce oven temperature to 325degf . roast until an instant read thermometer inserted into thickest part of thigh registers 170degf, 2 3/4 to 3 hours . check to see that turkey is done . remove from oven or add time as needed . set turkey on a platter and let stand 30 minutes before carving . tuck fresh sage sprigs around turkey if you like . pro tip save pan drippings for gravy."
4073,pull apart pork rib roast with apples and onions,this is a mouth watering fall apart tender pork rib roast slowly baked with apples and onions.,"2.0 tablespoon brown sugar, 1.0 teaspoon salt, 1.0 teaspoon black pepper, 1.0 teaspoon garlic, 1.0 teaspoon thyme, 0.5 teaspoon chili powder, 1.0 kilogram rib roast, 3.0 tablespoon olive oil, 2.0 apples, 3.0 onions, 300.0 milliliter apple cider","mix and combine dry ingredients . rub the pork rib on all sides with dry mixture, let it sit for 15 minutes . in the meantime, heat an uncovered deep roasting pan just a little bit bigger than the rib roast in the oven preheated to 250degc . rub the meat with olive oil, place in a hot pan and bake, uncovered, for about 30 minutes until a golden brown crust forms . remove from the oven and from the baking pan, and reduce oven temperature to 150degc . spread apple and onion slices on the bottom of the pan, add cider . place the rib roast on apples and onions, tightly cover with a lid and bake for about 2 hours . check, once or twice that there is enough liquid to prevent apples and onions from burning . when done, let the rib roast rest for 15 minutes, then gently pull apart with a fork or fingers from the bone and serve with the apple and onion sauce and mashed potatoes."
2737,spaghetti a la philly,http //www.recipe.com/spaghetti a la philly/ sssdmh dm17.702216andesrc nwdr110413e,"0.5 pound spaghetti, 1.0 pound extra lean ground beef, 24.0 ounce spaghetti sauce, 4.0 ounce cream cheese, 2.0 tablespoon grated parmesan cheese","cook spaghetti as directed on package . meanwhile, brown meat in large skillet . stir in sauce and cream cheese cook on low heat 3 to 5 min . or until sauce is well blended and heated through, stirring frequently . drain spaghetti . add to sauce mix lightly . place on platter top with parmesan."
5113,tea brined porterhouse chops,serve with creamed peas and greens.,"4.0 porterhouse bone in loin pork chops, 2.0 tablespoon butter, 1.0 bunch kale, 15.0 ounce black eyed peas, 0.2 cup heavy cream, salt, pepper, lemon juice, 2.0 cup water, 5.0 tablespoon salt, 3.0 tablespoon sugar, 3.0 tablespoon black tea, 3.0 cup ice","to make the black tea brine in a saucepot, combine the water, sugar, black tea and bring to a simmer . stir until the sugar and salt dissolve, and then remove from heat . allow the tea to steep for 3 to 5 minutes . strain the mixture and combine with ice . cool the mixture fully before submerging the pork chops.brine the chops overnight up to 8 hours in a self sealing bag or a container large enough to hold the chops, ensuring they are fully submerged . to make the chops in the oven preheat oven to broil . remove the brined chops and pat dry . season the chops with salt and place on broiler pan, cook 2 3 minutes until seared on the first side, flip and sear 2 3 minutes until browned on both sides . when the chops are browned to your liking, lower the oven temperature to 350 degrees f . move broiler pan with chops to the center rack of the oven, cook 12 16 minutes more or until an internal temperature reaches between 145 degrees f . medium rare to 160 degrees f . medium . allow to rest for 3 minutes . to make the chops on an outdoor grill preheat a grill with two zones of heat, medium high and medium . remove the brined chops and pat dry . season the chops with salt and place on the medium high zone of the grill, searing 2 3 minutes per side . when the chops are browned to your liking, move them to the cooler medium zone to finish cooking . cook for 12 16 minutes or until an internal temperature reaches between 145 degrees f . medium rare to 160 degrees f . medium . allow to rest for 3 minutes . to make the greens place a saute pan over medium heat and add the butter and greens . saute until the greens wilt slightly, and then add 2 cups of black eyed peas to warm them through . add the heavy cream, season with salt and pepper and continue to cook and reduce until the cream coats the greens and peas . taste and season with lemon juice and more salt and pepper if necessary."
4859,southern praline bread pudding,"southern praline bread pudding with eggs, granulated sugar, 2 milk, i can't believe it's not butter all purpose sticks, vanilla extract, salt, bread, finely chopped pecans, firmly packed brown sugar","3.0 eggs, 0.7 cup granulated sugar, 2.5 cup 2 milk, 0.5 cup i can't believe it's not butter all purpose sticks, 1.0 teaspoon vanilla extract, 0.5 teaspoon salt, 10.0 slice bread, 1.0 cup finely chopped pecans, 0.8 cup firmly packed brown sugar","preheat oven to 350deg . grease 13 x 9 inch baking dish or casserole set aside . beat eggs, granulated sugar, milk, 1/4 cup i can't believe it's not butter all purpose sticks, vanilla and salt in large bowl with wire whisk . stir in bread until evenly coated . turn into prepared dish . combine pecans, brown sugar and remaining 1/4 cup i can't believe it's not butter all purpose sticks in small bowl until blended . evenly spoon topping over bread . bake uncovered 50 minutes or until set . serve warm and, if desired, with breyers natural vanilla ice cream."
4664,knorr fish tacos with bell pepper slaw,"knorr fish tacos with bell pepper slaw with sour cream, lime juice, chopped fresh cilantro, red bell pepper, sliced, knorr reduced sodium chicken flavor bouillon cube, cod, olive oil, flour tortillas","0.5 cup sour cream, 0.2 cup lime juice, 0.2 cup chopped fresh cilantro, 2.0 red bell pepper, sliced, 2.0 knorr reduced sodium chicken flavor bouillon cube, 1.2 pound cod, 1.0 tablespoon olive oil, 8.0 flour tortillas","bell pepper slaw combine sour cream, 2 tablespoons lime juice and 2 tablespoons cilantro in a small bowl . toss red peppers with 2 tablespoons of the sour cream mixture set aside . tacos mash the knorr reduced sodium chicken flavor bouillon cubes with the remaining 2 tablespoons lime juice in a small glass bowl or measuring cup . microwave at high for 20 seconds or until bouillon is softened . stir until smooth . add remaining 2 tablespoons cilantro and toss with cod strips to coat well . heat olive oil in a large skillet over medium high heat and cook cod about 5 minutes or until fish flakes, stirring frequently . serve immediately in tortillas and top with bell pepper slaw . drizzle with remaining sour cream mixture."
